timestamp,date_gmt,status,home_team_name,away_team_name,referee,game_week,pre_match_ppg_home_,pre_match_ppg_away_,home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_ht_fhg_percentage_pre_match,over_05_ht_fhg_percentage_pre_match,over_15_2hg_percentage_pre_match,over_05_2hg_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,stadium_name,competici_n
1718132400,Jun 11 2024 - 7:00pm,complete,Angola,Cameroon,Mohamed Adel Elsaid,4.0,1.67,2.33,1.2,1.73,1,1,2,1,0,1,54,11,4,4,1,0,0,0,0,1,0,0,14,16,6,4,8,12,13,14,50,50,1.83,34,50,34,17,17,34,67,17,34,9.66,4.0,EstÃ¡dio Nacional de OMBAKA,CAF
1718132400,Jun 11 2024 - 7:00pm,complete,Ã‰toile du Congo,Morocco,Daniel Laryea Nii Ayi,4.0,0.0,3.0,0.13,3.0,0,6,6,4,0,4,desconocido,"8,16,20,39,53,62",4,3,4,0,0,0,3,1,0,0,3,20,1,11,2,9,12,13,30,70,3.5,50,100,75,25,25,25,75,50,75,6.0,1.5,Stade d'Agadir,CAF
1718132400,Jun 11 2024 - 7:00pm,complete,Gabon,Gambia,Sadok Selmi,0.0,2.0,1.0,2.27,1.3,3,2,5,1,0,1,"70,52,72","33,79",4,5,2,0,3,0,0,2,0,3,5,6,3,3,2,3,5,5,50,50,3.33,67,84,67,34,34,34,100,67,84,9.34,5.33,desconocido,CAF
1718132400,Jun 11 2024 - 7:00pm,complete,Seychelles,Burundi,Mohamed Ali Moussa,4.0,0.0,1.33,0.0,1.0,1,3,4,1,0,1,78,"34,62,69",3,8,2,0,0,0,1,1,0,0,8,14,4,8,4,6,17,12,40,60,5.0,67,100,84,67,67,67,84,100,100,7.0,4.33,Stade Municipal de Berkane,CAF
1742216400,Mar 17 2025 - 1:00pm,complete,Tanzania,Ã‰toile du Congo,desconocido,5.0,2.0,0.0,1.25,0.13,3,0,3,0,0,0,desconocido,desconocido,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.17,17,67,50,34,34,34,67,34,67,4.0,5.67,desconocido,CAF
1742400000,Mar 19 2025 - 4:00pm,complete,Swaziland,Cameroon,Lucky Razake Kasalirwe,5.0,0.0,2.0,0.3,1.73,0,0,0,0,0,0,desconocido,desconocido,1,4,0,0,1,0,0,0,1,0,12,18,3,4,9,14,4,15,33,67,2.38,50,75,38,13,13,50,88,13,63,9.75,3.5,desconocido,CAF
1742400000,Mar 19 2025 - 4:00pm,complete,Liberia,Tunisia,Clement Franklin Kpan,5.0,1.0,2.5,1.2,2.8,0,1,1,1,0,1,desconocido,4,6,6,0,0,1,0,0,0,0,1,5,9,4,5,1,4,8,18,62,38,1.38,13,25,13,13,0,0,25,13,75,8.5,3.0,Samuel Kanyon Doe Sports Complex,CAF
1742400000,Mar 19 2025 - 4:00pm,complete,Central African Republic,Madagascar,Adalbert Diouf,5.0,1.0,1.75,0.8,1.9,1,4,5,3,1,2,9,"21,17,49,89",3,4,1,0,2,0,0,1,1,1,7,16,4,7,3,9,9,20,48,52,2.88,50,63,50,25,25,25,63,63,75,7.5,4.5,Stade Mohamed V,CAF
1742475600,Mar 20 2025 - 1:00pm,complete,Mozambique,Uganda,Pierre Atcho,5.0,2.25,1.5,1.8,1.8,3,1,4,4,3,1,"3,16,45'3",7,5,5,2,0,1,1,0,2,2,0,3,1,4,2,-1,-1,11,15,74,26,2.38,50,63,50,13,13,25,63,38,88,10.75,5.0,Cairo International Stadium,CAF
1742486400,Mar 20 2025 - 4:00pm,complete,Sierra Leone,Guinea-Bissau,Daniel Laryea Nii Ayi,5.0,1.25,1.5,1.5,1.0,3,1,4,1,1,0,"19,61,90'6",68,2,4,1,0,1,0,1,0,0,1,7,8,5,3,2,5,21,15,66,34,1.75,50,63,25,13,0,25,75,13,63,6.0,4.25,Samuel Kanyon Doe Sports Complex,CAF
1742486400,Mar 20 2025 - 4:00pm,complete,Zimbabwe,Benin,Tessema Weyesa Bamlak,5.0,0.5,1.75,0.5,1.7,2,2,4,3,1,2,"44,59","12,35",3,1,1,0,1,0,1,0,0,1,7,7,3,5,4,2,16,14,28,72,1.88,50,63,38,13,0,50,75,13,38,7.5,3.0,desconocido,CAF
1742486400,Mar 20 2025 - 4:00pm,complete,Cape Verde Islands,Mauritius,Kabanga Yannick Malala,5.0,1.75,1.0,2.3,0.6,1,0,1,0,0,0,84,desconocido,9,0,2,0,3,0,0,2,2,1,11,2,3,0,8,2,9,8,70,30,2.13,38,63,50,13,13,50,75,13,38,7.5,1.75,EstÃ¡dio Nacional de Cabo Verde,CAF
1742486400,Mar 20 2025 - 4:00pm,complete,Malawi,Namibia,desconocido,5.0,1.5,2.0,1.3,1.5,0,1,1,1,0,1,desconocido,40,6,3,0,0,3,0,0,0,1,2,9,7,2,2,7,5,9,10,39,61,1.75,25,50,25,13,0,13,38,13,75,7.75,3.25,desconocido,CAF
1742497200,Mar 20 2025 - 7:00pm,complete,Libya,Angola,Lamin Jammeh,5.0,1.75,1.5,1.6,1.2,1,1,2,0,0,0,74,90'3,4,2,4,0,0,0,1,3,0,0,4,9,3,5,1,4,10,9,44,56,1.25,38,38,13,0,0,25,63,0,25,8.25,3.5,desconocido,CAF
1742497200,Mar 20 2025 - 7:00pm,complete,Gabon,Seychelles,desconocido,5.0,2.25,0.0,2.27,0.0,3,0,3,2,2,0,"3,30,63",desconocido,13,1,1,0,3,0,1,0,2,1,20,5,8,1,12,4,11,12,75,25,4.5,63,88,88,63,50,38,100,88,88,6.5,5.0,desconocido,CAF
1742497200,Mar 20 2025 - 7:00pm,complete,Gambia,Kenya,Abdou Abdel Mefire,5.0,0.75,1.25,1.3,1.2,3,3,6,0,0,0,"55,61,84","75,90'6,69",3,4,3,0,2,0,2,1,0,2,9,10,5,5,4,5,13,13,49,51,3.5,63,88,63,50,50,38,75,75,88,9.0,3.5,desconocido,CAF
1742504400,Mar 20 2025 - 9:00pm,complete,Comoros,Mali,Mahmood Ali Mahmood Ismail,5.0,2.25,1.25,1.5,1.8,0,3,3,1,0,1,desconocido,"20,55,63",3,2,2,0,0,0,0,2,0,0,6,10,3,5,3,5,14,24,51,49,2.63,63,75,50,25,13,13,63,75,75,12.25,1.5,Stade Municipal de Berkane,CAF
1742562000,Mar 21 2025 - 1:00pm,complete,Botswana,Algeria,Ahmed Arajiga,5.0,1.5,2.25,1.0,2.5,1,3,4,1,0,1,70,"74,44,52",2,5,2,0,1,0,1,1,1,0,5,6,2,4,3,2,10,11,32,68,2.88,63,75,63,38,13,13,50,75,100,6.75,4.5,desconocido,CAF
1742562000,Mar 21 2025 - 1:00pm,complete,Equatorial Guinea,SÃ£o TomÃ© e PrÃ­ncipe,Adissa Abdul Raphiou Ligali,5.0,1.5,0.0,1.4,0.3,2,0,2,2,2,0,"14,17",desconocido,11,1,2,0,1,0,1,1,1,0,9,3,5,1,4,2,9,6,58,42,2.13,13,50,38,25,0,13,38,25,75,6.75,3.5,Nuevo Estadio de Malabo,CAF
