"id_jugador","jugador_nombre_limpio","seleccion","foto_url","thesportsdb_id","nombre_api","estado_foto","error_api"
"408","CASTILLO Denil Daniel PRECIADO","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Denil+Daniel+Preciado+Castillo"
"409","PLATA Gonzalo Jordy JIMENEZ","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Gonzalo+Jordy+Jimenez+Plata"
"410","ANGULO Nilson David RAMIREZ","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Nilson+David+Ramirez+Angulo"
"411","FRANCO Alan Steven PALMA","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Alan+Steven+Palma+Franco"
"412","VALLE Gonzalo Roberto BUSTAMANTE","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Gonzalo+Roberto+Bustamante+Valle"
"413","CAICEDO Moises Isaac COROZO M.","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Moises+Isaac+Corozo+M.+Caicedo"
"414","AREVALO Jeremy Alberto MERA","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Jeremy+Alberto+Mera+Arevalo"
"415","POROZO Jackson Gabriel VERNAZA","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Jackson+Gabriel+Vernaza+Porozo"
"416","MEDINA Yaimar Abel ORTIZ","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Yaimar+Abel+Ortiz+Medina"
"417","MOHAMED ELSHENAWY Elsayed GOMAA M.","Egypt","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Elsayed+Gomaa+M.+Mohamed+Elshenawy"
