timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1718143200,Jun 11 2024 - 10:00pm,complete,N/A,Guyana,Belize,N/A,3,0.00,0.00,1.50,0.00,3,1,4,0,0,0,"66,67,72","88",10,2,0,0,1,0,0,0,0,1,17,2,8,1,9,1,8,13,64,36,0.87,1.18,2.20,0.41,3.00,0,100,50,50,0,0,50,100,100,8.00,4.00,1.53,4.33,5.75,1.01,1.57,2.14,3.70,1.70,2.05,N/A
1718150400,Jun 12 2024 - 12:00am,complete,N/A,Puerto Rico,Anguilla,N/A,3,1.00,0.67,1.75,0.33,8,0,8,2,2,0,"21,33,49,51,58,66,70,90'1","",6,0,1,0,1,0,0,1,1,0,22,2,11,1,11,1,11,11,73,27,0.59,0.26,2.71,0.26,1.00,17,34,17,17,0,17,34,17,17,4.00,4.33,1.02,21.00,51.00,1.01,1.08,1.12,1.40,3.00,1.36,Estadio Juán Rámon Loubriel
1718150400,Jun 12 2024 - 12:00am,complete,N/A,Dominican Republic,British Virgin Islands,Adonai Escobedo González,3,0.00,0.67,1.50,0.33,4,0,4,3,3,0,"2,14,31,90'2","",5,1,0,0,0,0,0,0,0,0,17,4,8,2,9,2,11,11,77,23,0.84,0.53,1.96,0.49,1.34,17,34,17,0,0,17,67,0,17,7.00,6.33,1.05,13.00,41.00,1.01,1.22,1.33,1.76,2.75,1.40,N/A
1749063600,Jun 04 2025 - 7:00pm,complete,N/A,Dominica,British Virgin Islands,N/A,3,0.00,0.50,0.75,0.33,3,0,3,2,2,0,"29,35,75","",5,5,0,0,1,0,0,0,0,1,13,12,5,2,8,10,10,10,50,50,1.03,0.51,1.48,1.26,3.88,38,88,75,63,50,75,75,50,75,3.50,1.50,1.45,4.20,7.50,1.21,1.90,3.10,5.50,2.00,1.75,Windsor Park
1749070800,Jun 04 2025 - 9:00pm,complete,N/A,Montserrat,Belize,N/A,3,0.00,0.00,0.75,0.00,1,0,1,1,1,0,"2","",1,2,1,0,2,0,0,1,1,1,7,8,3,4,4,4,17,16,29,71,0.69,0.80,0.99,1.21,4.25,75,100,100,100,25,25,75,100,100,6.50,2.00,2.35,3.25,3.07,1.36,2.05,3.50,7.50,1.72,1.85,Ato Boldon Stadium
1749070800,Jun 04 2025 - 9:00pm,complete,N/A,Barbados,Aruba,N/A,3,0.00,0.50,0.25,0.50,1,1,2,2,1,1,"7","15",11,1,2,0,1,0,0,2,0,1,19,8,8,4,11,4,13,23,66,34,0.84,1.07,2.50,1.16,3.75,75,100,75,75,25,50,75,75,100,4.50,3.00,2.05,3.50,3.50,1.17,1.66,2.35,4.20,1.50,2.17,N/A
1749078000,Jun 04 2025 - 11:00pm,complete,N/A,St. Vincent / Grenadines,Anguilla,N/A,3,0.00,0.50,0.75,0.33,6,0,6,2,2,0,"21,25,70,85,59,61","",4,0,0,0,0,0,0,0,0,0,3,1,2,0,1,1,3,5,67,33,0.94,0.26,0.70,0.17,4.00,63,88,75,75,38,75,88,75,75,7.50,2.25,1.06,7.75,18.00,1.11,1.40,1.99,3.00,2.10,1.74,N/A
1749078000,Jun 04 2025 - 11:00pm,complete,N/A,Bermuda,Cayman Islands,N/A,3,0.50,1.50,0.80,0.75,5,0,5,1,1,0,"13,85,54,65,79","",1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,9,9,71,29,1.50,1.48,0.53,0.10,3.25,50,75,50,25,25,25,50,25,75,7.00,1.50,1.17,6.55,11.00,1.09,1.39,1.96,3.14,1.93,1.80,N/A
1749078000,Jun 04 2025 - 11:00pm,complete,N/A,Grenada,Bahamas,N/A,3,0.50,0.00,1.75,0.00,6,0,6,2,2,0,"15,36,72,90,58,78","",2,0,1,0,0,0,0,1,0,0,5,0,3,0,2,0,11,2,77,23,1.19,0.85,1.03,0.16,4.00,50,75,75,50,25,75,100,25,75,5.50,4.00,1.03,12.00,19.71,1.05,1.25,1.73,2.45,2.17,1.62,N/A
1749236400,Jun 06 2025 - 7:00pm,complete,N/A,Antigua and Barbuda,Cuba,N/A,4,0.50,1.50,0.25,1.50,0,1,1,1,0,1,"","45'8",3,6,0,1,1,0,0,1,1,0,4,19,1,3,3,16,9,12,27,73,1.23,0.45,0.56,1.94,2.50,50,75,50,25,0,25,50,0,75,8.50,2.00,5.50,4.08,1.56,1.20,1.67,2.85,4.75,1.65,1.93,N/A
