id_partido,match_no,fase,ronda,grupo,fecha_local,dia_semana_en,hora_local_12h,hora_local_24h,timezone_sede,datetime_local_iso,datetime_utc_iso,fecha_peru,hora_peru,datetime_peru_iso,id_equipo_local,equipo_local,equipo_local_original,codigo_local,id_equipo_visitante,equipo_visitante,equipo_visitante_original,codigo_visitante,id_sede,ciudad,pais_sede,estadio,nombre_fifa_estadio,partido_nombre,estado,resultado,goles_local,goles_visitante,fuente_fixture,fuente_verificacion_fifa,nota
31,31,Fase de grupos,Group Stage,,2026-06-19,Friday,4:00 pm,16:00,America/Los_Angeles,2026-06-19T16:00:00-07:00,2026-06-19T23:00:00+00:00,2026-06-19,18:00,2026-06-19T18:00:00-05:00,,Turkey,Turkey,,34,Paraguay,Paraguay,PAR,,San Francisco Bay Area,United States,Levi's Stadium,San Francisco Bay Area Stadium,Turkey vs Paraguay,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
32,32,Fase de grupos,Group Stage,D,2026-06-19,Friday,4:00 pm,16:00,America/Los_Angeles,2026-06-19T16:00:00-07:00,2026-06-19T23:00:00+00:00,2026-06-19,18:00,2026-06-19T18:00:00-05:00,46,United States,United States,USA,3,Australia,Australia,AUS,7,Seattle,United States,Lumen Field,Seattle Stadium,United States vs Australia,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
33,33,Fase de grupos,Group Stage,E,2026-06-20,Saturday,4:00 pm,16:00,America/Toronto,2026-06-20T16:00:00-04:00,2026-06-20T20:00:00+00:00,2026-06-20,15:00,2026-06-20T15:00:00-05:00,20,Germany,Germany,GER,15,Côte D'Ivoire,Côte d'Ivoire,CIV,8,Toronto,Canada,BMO Field,Toronto Stadium,Germany vs Côte D'Ivoire,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
34,34,Fase de grupos,Group Stage,E,2026-06-20,Saturday,4:00 pm,16:00,America/Chicago,2026-06-20T16:00:00-05:00,2026-06-20T21:00:00+00:00,2026-06-20,16:00,2026-06-20T16:00:00-05:00,16,Ecuador,Ecuador,ECU,13,Curaçao,Curaçao,CUW,,Kansas City,United States,Arrowhead Stadium,Kansas City Stadium,Ecuador vs Curaçao,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
35,35,Fase de grupos,Group Stage,F,2026-06-20,Saturday,4:00 pm,16:00,America/Chicago,2026-06-20T16:00:00-05:00,2026-06-20T21:00:00+00:00,2026-06-20,16:00,2026-06-20T16:00:00-05:00,30,Netherlands,Netherlands,NED,42,Sweden,Sweden,SWE,4,Houston,United States,NRG Stadium,Houston Stadium,Netherlands vs Sweden,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
36,36,Fase de grupos,Group Stage,F,2026-06-20,Saturday,4:00 pm,16:00,America/Monterrey,2026-06-20T16:00:00-06:00,2026-06-20T22:00:00+00:00,2026-06-20,17:00,2026-06-20T17:00:00-05:00,44,Tunisia,Tunisia,TUN,25,Japan,Japan,JPN,11,Monterrey,Mexico,Estadio BBVA,Monterrey Stadium,Tunisia vs Japan,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
37,37,Fase de grupos,Group Stage,H,2026-06-21,Sunday,4:00 pm,16:00,America/New_York,2026-06-21T16:00:00-04:00,2026-06-21T20:00:00+00:00,2026-06-21,15:00,2026-06-21T15:00:00-05:00,47,Uruguay,Uruguay,URU,8,Cabo Verde,Cape Verde,CPV,5,Miami,United States,Hard Rock Stadium,Miami Stadium,Uruguay vs Cabo Verde,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
38,38,Fase de grupos,Group Stage,H,2026-06-21,Sunday,4:00 pm,16:00,America/New_York,2026-06-21T16:00:00-04:00,2026-06-21T20:00:00+00:00,2026-06-21,15:00,2026-06-21T15:00:00-05:00,41,Spain,Spain,ESP,37,Saudi Arabia,Saudi Arabia,KSA,1,Atlanta,United States,Mercedes-Benz Stadium,Atlanta Stadium,Spain vs Saudi Arabia,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
39,39,Fase de grupos,Group Stage,G,2026-06-21,Sunday,4:00 pm,16:00,America/Los_Angeles,2026-06-21T16:00:00-07:00,2026-06-21T23:00:00+00:00,2026-06-21,18:00,2026-06-21T18:00:00-05:00,5,Belgium,Belgium,BEL,23,Iran,IR Iran,IRN,,Los Angeles,United States,SoFi Stadium,Los Angeles Stadium,Belgium vs Iran,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
40,40,Fase de grupos,Group Stage,G,2026-06-21,Sunday,4:00 pm,16:00,America/Vancouver,2026-06-21T16:00:00-07:00,2026-06-21T23:00:00+00:00,2026-06-21,18:00,2026-06-21T18:00:00-05:00,31,New Zealand,New Zealand,NZL,17,Egypt,Egypt,EGY,9,Vancouver,Canada,BC Place,BC Place Vancouver,New Zealand vs Egypt,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
